arrival_date,booking_ts,stay_nights,channel,segment,origin,price_at_booking,cancelled,property_id
2022-01-01,2021-12-24T00:00:00Z,4,direct,business,DE,145.31,False,P001
2022-01-01,2021-12-30T00:00:00Z,1,direct,business,US,218.7,False,P001
2022-01-01,2021-12-22T00:00:00Z,1,direct,leisure,MX,135.55,False,P001
2022-01-01,2021-11-02T00:00:00Z,5,direct,leisure,MX,133.24,False,P001
2022-01-01,2021-11-04T00:00:00Z,1,ota,leisure,MX,163.17,False,P001
2022-01-01,2021-12-22T00:00:00Z,4,ota,business,MX,195.59,False,P001
2022-01-01,2021-12-05T00:00:00Z,2,ota,business,DE,131.39,False,P001
2022-01-01,2021-11-02T00:00:00Z,7,direct,business,CA,154.53,False,P001
2022-01-01,2021-11-05T00:00:00Z,2,ota,leisure,MX,174.79,False,P001
2022-01-01,2021-12-24T00:00:00Z,2,ota,business,DE,141.56,False,P001
2022-01-01,2021-12-02T00:00:00Z,2,ota,leisure,MX,99.43,False,P001
2022-01-01,2021-12-27T00:00:00Z,5,direct,business,GB,173.62,False,P001
2022-01-01,2021-12-18T00:00:00Z,2,ota,leisure,MX,152.28,False,P001
2022-01-01,2021-11-02T00:00:00Z,2,direct,leisure,GB,128.83,False,P001
2022-01-01,2021-12-24T00:00:00Z,1,direct,leisure,GB,186.39,False,P001
2022-01-01,2021-12-27T00:00:00Z,1,ota,business,GB,154.04,False,P001
2022-01-01,2021-11-29T00:00:00Z,1,ota,leisure,CA,196.92,False,P001
2022-01-02,2021-12-05T00:00:00Z,4,direct,business,US,151.91,False,P001
2022-01-02,2021-11-09T00:00:00Z,5,ota,business,CA,171.07,True,P001
2022-01-02,2021-12-23T00:00:00Z,1,direct,business,CA,145.23,False,P001
2022-01-02,2021-11-29T00:00:00Z,3,direct,leisure,DE,199.7,False,P001
2022-01-02,2021-11-23T00:00:00Z,3,ota,business,GB,163.59,False,P001
2022-01-02,2021-12-30T00:00:00Z,4,direct,business,GB,190.83,False,P001
2022-01-02,2021-11-30T00:00:00Z,1,ota,business,CA,133.4,False,P001
2022-01-02,2021-12-24T00:00:00Z,5,ota,business,GB,155.97,False,P001
2022-01-02,2021-12-29T00:00:00Z,1,ota,business,US,160.25,False,P001
2022-01-02,2021-12-25T00:00:00Z,1,direct,leisure,DE,145.92,False,P001
2022-01-02,2021-12-10T00:00:00Z,5,direct,leisure,DE,133.25,False,P001
2022-01-02,2021-12-22T00:00:00Z,1,direct,leisure,MX,136.0,False,P001
2022-01-03,2021-12-25T00:00:00Z,6,direct,business,CA,153.26,False,P001
2022-01-03,2021-12-27T00:00:00Z,3,direct,leisure,MX,147.13,False,P001
2022-01-03,2021-12-12T00:00:00Z,3,direct,business,DE,156.77,False,P001
2022-01-03,2021-12-31T00:00:00Z,1,ota,business,DE,168.26,False,P001
2022-01-03,2021-12-24T00:00:00Z,1,ota,business,US,169.41,False,P001
2022-01-03,2021-12-11T00:00:00Z,1,direct,business,CA,89.07,False,P001
2022-01-03,2022-01-01T00:00:00Z,1,ota,business,GB,155.22,False,P001
2022-01-03,2021-12-06T00:00:00Z,7,ota,leisure,DE,210.83,False,P001
2022-01-04,2021-12-18T00:00:00Z,2,direct,leisure,MX,109.31,False,P001
2022-01-04,2021-11-29T00:00:00Z,2,direct,business,MX,51.05,False,P001
2022-01-04,2021-11-27T00:00:00Z,1,direct,leisure,DE,97.32,False,P001
2022-01-04,2021-12-30T00:00:00Z,3,direct,leisure,CA,106.8,False,P001
2022-01-04,2021-12-31T00:00:00Z,2,direct,leisure,MX,106.93,False,P001
2022-01-04,2021-12-22T00:00:00Z,5,direct,leisure,GB,165.89,False,P001
2022-01-04,2021-12-09T00:00:00Z,7,direct,leisure,GB,177.56,True,P001
2022-01-05,2021-12-31T00:00:00Z,1,direct,leisure,GB,116.93,False,P001
2022-01-05,2021-12-16T00:00:00Z,3,ota,business,DE,156.77,False,P001
2022-01-05,2021-12-30T00:00:00Z,2,ota,business,MX,161.44,False,P001
2022-01-05,2021-12-09T00:00:00Z,2,direct,leisure,CA,165.69,False,P001
2022-01-05,2021-12-26T00:00:00Z,4,ota,business,MX,149.5,False,P001
2022-01-05,2021-12-11T00:00:00Z,7,ota,business,DE,188.2,False,P001
2022-01-05,2022-01-02T00:00:00Z,3,ota,business,DE,155.02,False,P001
2022-01-05,2022-01-01T00:00:00Z,3,direct,business,MX,179.1,False,P001
2022-01-05,2021-12-20T00:00:00Z,3,direct,business,CA,80.25,False,P001
2022-01-05,2022-01-01T00:00:00Z,3,ota,business,CA,172.68,False,P001
2022-01-05,2021-12-22T00:00:00Z,3,direct,business,MX,130.83,False,P001
2022-01-05,2021-12-30T00:00:00Z,3,ota,business,GB,102.39,False,P001
2022-01-05,2021-12-20T00:00:00Z,6,ota,business,MX,166.06,False,P001
2022-01-05,2021-12-29T00:00:00Z,4,ota,leisure,US,104.29,False,P001
2022-01-05,2021-12-01T00:00:00Z,2,ota,business,CA,122.2,False,P001
2022-01-05,2022-01-02T00:00:00Z,7,ota,business,CA,157.33,True,P001
2022-01-06,2022-01-01T00:00:00Z,1,ota,leisure,GB,124.26,False,P001
2022-01-06,2021-12-25T00:00:00Z,2,direct,leisure,MX,222.63,False,P001
2022-01-06,2021-11-11T00:00:00Z,5,ota,leisure,GB,179.37,False,P001
